City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,21.2,44,0,1.66,US,1707249185
1,st. john's,47.5649,-52.7093,0.93,97,100,15.95,CA,1707249118
2,keflavik,64.0049,-22.5624,-2.05,74,40,7.72,IS,1707249186
3,port-aux-francais,-49.35,70.2167,6.02,89,100,11.78,TF,1707249186
4,ribeira grande,38.5167,-28.7,17.1,94,75,13.89,PT,1707249186
5,jamestown,42.097,-79.2353,6.4,43,0,2.57,US,1707249063
6,jinsha,32.0898,121.0735,1.15,82,76,3.12,CN,1707249187
7,laojunmiao,39.8333,97.7333,-8.2,69,100,1.02,CN,1707249187
8,adamstown,-25.066,-130.1015,24.95,80,35,0.72,PN,1707249187
9,bamusso,4.4591,8.9027,26.98,81,100,1.55,CM,1707249187
10,klyuchi,52.2667,79.1667,-9.01,83,81,4.89,RU,1707249187
11,punta arenas,-53.15,-70.9167,18.01,55,0,8.23,CL,1707249090
12,namibe,-15.1961,12.1522,25.11,79,100,0.56,AO,1707249171
13,tidjikja,18.5564,-11.4271,24.08,9,6,5.13,MR,1707249188
14,edinburgh of the seven seas,-37.0676,-12.3116,17.09,69,26,3.43,SH,1707249065
15,longyearbyen,78.2186,15.6401,-10.09,67,75,8.75,SJ,1707249067
16,zeya,53.75,127.2667,-24.17,99,100,0.88,RU,1707249189
17,tura,25.5198,90.2201,13.88,90,0,0.81,IN,1707249189
18,west island,-12.1568,96.8225,26.99,83,40,2.57,CC,1707249189
19,grytviken,-54.2811,-36.5092,10.42,54,3,2.04,GS,1707249125
20,invercargill,-46.4,168.35,12.79,95,76,4.02,NZ,1707249189
21,kendari,-3.945,122.4989,24.46,93,97,1.11,ID,1707249190
22,papatowai,-46.5619,169.4708,12.22,91,93,3.83,NZ,1707249126
23,marsa alam,25.0757,34.8918,18.29,61,0,6.09,EG,1707249190
24,sadovoye,47.7764,44.5089,-0.58,77,15,8.17,RU,1707249190
25,pocoes,-14.5297,-40.3653,26.74,59,80,2.81,BR,1707249191
26,aral,40.5156,81.2636,-2.02,55,13,1.33,CN,1707249191
27,blackmans bay,-43.0167,147.3167,12.07,82,97,2.05,AU,1707249191
28,kitimat,54.0524,-128.6534,0.51,76,100,1.34,CA,1707249191
29,tiksi,71.6872,128.8694,-23.78,98,99,2.67,RU,1707249191
30,uturoa,-16.7333,-151.4333,28.15,85,100,9.9,PF,1707249192
31,balabac,7.9868,117.0645,26.04,84,11,4.26,PH,1707249192
32,bredasdorp,-34.5322,20.0403,22.17,61,14,7.09,ZA,1707249069
33,bhabhua,25.05,83.6167,13.0,64,3,2.7,IN,1707249192
34,bethel,41.3712,-73.414,6.08,49,0,2.57,US,1707249089
35,walvis bay,-22.9575,14.5053,21.53,78,94,3.09,NA,1707249171
36,weno,7.4515,151.8468,26.97,69,75,5.66,FM,1707249193
37,jiamusi,46.8333,130.35,-22.75,99,33,2.78,CN,1707249193
38,hermanus,-34.4187,19.2345,19.89,77,70,7.29,ZA,1707249123
39,lazaro cardenas,17.9583,-102.2,28.88,58,11,3.79,MX,1707249194
40,waitangi,-43.9535,-176.5597,18.23,91,100,2.24,NZ,1707249056
41,taro,-8.3862,115.28,23.0,92,99,0.65,ID,1707249194
42,iqaluit,63.7506,-68.5145,-10.15,66,75,8.23,CA,1707249194
43,crane,31.3974,-102.3501,17.54,34,100,8.61,US,1707249195
44,rupert,42.6191,-113.6772,8.99,76,100,1.54,US,1707249195
45,ruteng,-8.6136,120.4721,16.51,88,70,0.35,ID,1707249195
46,luena,-11.7833,19.9167,20.1,94,19,1.54,AO,1707249195
47,polyarnyy,69.1989,33.4478,-17.89,99,90,5.03,RU,1707249195
48,asosa,10.0667,34.5333,20.05,31,45,2.23,ET,1707249196
49,hovd,48.0056,91.6419,-21.06,96,40,0.6,MN,1707249196
50,rio grande,-32.035,-52.0986,29.06,68,81,6.24,BR,1707249196
51,qaqortoq,60.7167,-46.0333,-16.17,61,0,3.98,GL,1707249196
52,shingu,33.7333,135.9833,3.29,74,100,2.4,JP,1707249197
53,happy valley-goose bay,53.3168,-60.3315,-8.83,57,20,1.54,CA,1707249147
54,at taj,24.2049,23.2857,12.23,36,4,3.58,LY,1707249197
55,la passe,45.5549,-0.8967,10.55,91,100,4.28,FR,1707249127
56,albany,42.6001,-73.9662,4.03,56,6,0.45,US,1707249197
57,nar'yan-mar,67.6713,53.087,-27.72,99,97,1.34,RU,1707249087
58,khanty-mansiysk,61.0042,69.0019,-0.94,100,75,4.02,RU,1707249198
59,hithadhoo,-0.6,73.0833,28.2,77,94,3.07,MV,1707249198
60,st. thomas,42.7736,-81.1804,4.85,55,50,2.03,CA,1707249198
61,palmer,42.1584,-72.3287,4.86,45,20,4.63,US,1707249133
62,nova sintra,14.8667,-24.7167,21.14,72,0,3.9,CV,1707249199
63,olinda,-8.0089,-34.8553,30.85,66,20,4.63,BR,1707249199
64,wailua homesteads,22.0669,-159.378,22.64,72,75,8.23,US,1707249133
65,illizi,26.4833,8.4667,15.89,24,53,5.92,DZ,1707249199
66,afaahiti,-17.75,-149.2833,27.93,86,100,8.65,PF,1707249199
67,la oliva,28.6105,-13.9291,18.66,73,0,4.63,ES,1707249200
68,olonkinbyen,70.9221,-8.7187,-1.5,83,42,8.99,SJ,1707249200
69,avarua,-21.2078,-159.775,29.03,74,75,5.14,CK,1707249200
70,dudinka,69.4058,86.1778,-19.62,87,100,3.58,RU,1707249200
71,anadyr,64.75,177.4833,-24.72,83,40,6.0,RU,1707249201
72,liberal,37.0431,-100.921,17.58,39,0,10.8,US,1707249201
73,burang,30.25,81.1667,-17.56,62,28,0.72,CN,1707249201
74,okha,53.5739,142.9478,-22.8,99,75,4.6,RU,1707249201
75,ushuaia,-54.8,-68.3,18.79,44,0,2.57,AR,1707249202
76,ngawi,-7.4038,111.4461,23.6,97,100,1.24,ID,1707249202
77,yellowknife,62.456,-114.3525,-18.1,92,100,5.66,CA,1707249202
78,al khawr,25.7667,51.3167,16.03,54,0,4.93,QA,1707249202
79,chichibu,35.9903,139.0764,0.25,99,77,1.69,JP,1707249203
80,quzhou,28.9594,118.8686,1.22,99,100,2.25,CN,1707249203
81,aioi,34.8036,134.4681,2.97,81,26,2.35,JP,1707249203
82,tofol,5.3248,163.0078,27.85,77,100,7.15,FM,1707249172
83,haiku-pauwela,20.9219,-156.3051,22.92,69,20,8.23,US,1707249146
84,colonia,50.9333,6.95,11.65,74,20,7.72,DE,1707249204
85,tres arroyos,-38.3739,-60.2798,41.13,18,23,5.35,AR,1707249204
86,kayangel,8.0823,134.7173,27.35,77,100,9.27,PW,1707249204
87,el jadid,33.2549,-8.506,15.47,79,0,4.73,MA,1707249204
88,murghob,38.1702,73.9667,-22.56,79,13,2.78,TJ,1707249205
89,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,84,75,3.0,RU,1707249205
90,tuba city,36.135,-111.2399,10.77,54,80,6.26,US,1707249205
91,port mathurin,-19.6833,63.4167,27.17,69,70,8.32,MU,1707249126
92,lodeve,43.7167,3.3167,7.79,84,100,3.6,FR,1707249206
93,hawaiian paradise park,19.5933,-154.9731,22.8,89,100,4.63,US,1707249206
94,ancud,-41.8697,-73.8203,16.37,97,100,9.08,CL,1707249206
95,karczew,52.0766,21.2496,9.49,80,100,10.66,PL,1707249206
96,bilibino,68.0546,166.4372,-34.95,100,100,0.68,RU,1707249206
97,arraial do cabo,-22.9661,-42.0278,29.98,74,20,4.63,BR,1707249207
98,tazacorte,28.629,-17.9293,20.08,49,0,2.68,ES,1707249207
99,nemuro,43.3236,145.575,-8.18,73,13,1.91,JP,1707249207
100,thompson,55.7435,-97.8558,-18.91,65,40,4.63,CA,1707249207
101,bibir hat,22.6873,91.7853,18.43,86,2,0.93,BD,1707249208
102,alaghsas,17.0187,8.0168,18.21,19,97,7.24,NE,1707249208
103,whakatane,-37.9585,176.9854,20.43,94,22,0.51,NZ,1707249183
104,phan rang-thap cham,11.5667,108.9833,22.89,86,98,2.24,VN,1707249208
105,kodiak,57.79,-152.4072,-6.27,93,0,2.57,US,1707249208
106,isafjordur,66.0755,-23.124,-3.01,91,100,10.01,IS,1707249209
